Transaction_ID,Date,Time,Sender_Bank,Receiver_Bank,UPI_App,Transaction_Type,Amount_INR,Status,Failure_Reason,City,Device_Type,Response_Time_ms,Is_Weekend
UPI100000041,2025-07-23,12:11:59,IndusInd Bank,IndusInd Bank,Mobikwik,Merchant Payment,972.18,Failed,Daily Limit Exceeded,Pune,iOS,815,False
UPI100000042,2025-11-21,18:59:45,Axis Bank,IndusInd Bank,PhonePe,Bill Payment,1059.16,Pending,NA,Mumbai,Android,192,False
UPI100000043,2025-10-07,16:01:19,Bank of Baroda,HDFC,Google Pay,Recharge,1332.02,Reversed,Bank Server Down,Chandigarh,iOS,160,False
UPI100000044,2025-06-28,10:38:24,Canara Bank,IndusInd Bank,Paytm,Recharge,490.23,Failed,Bank Server Down,Patiala,Android,820,True
UPI100000045,2025-08-03,07:02:31,IndusInd Bank,IndusInd Bank,PhonePe,Fund Transfer,2536.8,Failed,Network Timeout,Lucknow,Android,392,True
UPI100000046,2025-03-16,00:06:52,Canara Bank,Axis Bank,Google Pay,Merchant Payment,5153.5,Success,NA,Mumbai,Android,722,True
UPI100000047,2025-08-15,23:04:02,Axis Bank,HDFC,Google Pay,Fund Transfer,1247.85,Failed,Beneficiary Bank Unavailable,Patiala,Android,1173,False
UPI100000048,2025-12-27,15:17:49,SBI,SBI,WhatsApp Pay,Recharge,2637.0,Failed,Duplicate Transaction,Chandigarh,Android,93,True
UPI100000049,2025-08-21,06:47:46,IDBI Bank,Yes Bank,CRED,Recharge,4505.46,Reversed,NPCI Switch Error,Lucknow,Android,119,False
UPI100000050,2025-03-10,03:05:30,Punjab National Bank,Axis Bank,Amazon Pay,P2P,190.65,Reversed,Bank Server Down,Pune,iOS,687,False
UPI100000051,2025-05-13,06:35:14,Bank of Baroda,Union Bank,Paytm,P2M,5203.9,Success,NA,Lucknow,iOS,1663,False
UPI100000052,2025-08-18,00:25:42,Canara Bank,IndusInd Bank,Google Pay,P2M,3347.0,Failed,Daily Limit Exceeded,Bengaluru,Android,746,False
UPI100000053,2025-11-17,23:08:05,Axis Bank,SBI,CRED,P2P,1354.32,Success,NA,Kolkata,Android,575,False
UPI100000054,2025-12-30,07:26:30,Union Bank,IndusInd Bank,PhonePe,Bill Payment,186.82,Success,NA,Patiala,iOS,555,False
UPI100000055,2025-02-27,08:25:55,IDBI Bank,Canara Bank,Amazon Pay,P2P,2055.11,Success,NA,Kolkata,iOS,458,False
UPI100000056,2025-11-08,23:00:48,Kotak Mahindra,Punjab National Bank,WhatsApp Pay,P2M,28.34,Reversed,Duplicate Transaction,Mumbai,iOS,650,True
UPI100000057,2025-07-22,21:15:39,Punjab National Bank,Axis Bank,Paytm,Bill Payment,5235.36,Success,NA,Jaipur,Android,1001,False
UPI100000058,2025-01-01,19:07:46,Bank of Baroda,Yes Bank,Paytm,Recharge,4790.43,Failed,Invalid VPA,Kolkata,iOS,824,False
UPI100000059,2025-01-08,02:35:37,IDBI Bank,Axis Bank,PhonePe,P2M,400.87,Failed,Daily Limit Exceeded,Jaipur,iOS,3477,False
UPI100000060,2025-05-25,10:34:48,SBI,Punjab National Bank,BHIM,Merchant Payment,1741.49,Failed,Incorrect UPI PIN,Patiala,iOS,2443,True
UPI100000061,2025-09-13,19:32:20,Yes Bank,HDFC,PhonePe,Fund Transfer,3025.59,Failed,Beneficiary Bank Unavailable,Hyderabad,Android,1252,True
UPI100000062,2025-05-26,02:20:15,SBI,Union Bank,Amazon Pay,P2M,729.21,Reversed,NPCI Switch Error,Amritsar,Android,102,False
UPI100000063,2025-04-15,02:25:02,SBI,Punjab National Bank,Mobikwik,Fund Transfer,1775.09,Success,NA,Mumbai,iOS,2005,False
UPI100000064,2025-01-23,06:32:04,Punjab National Bank,Punjab National Bank,PhonePe,P2M,721.86,Failed,PSP Server Error,Jalandhar,Android,2514,False
UPI100000065,2025-07-24,15:51:31,SBI,SBI,Mobikwik,P2M,675.13,Failed,NPCI Switch Error,Lucknow,iOS,567,False
UPI100000066,2025-09-16,08:54:09,IDBI Bank,SBI,WhatsApp Pay,Recharge,1244.67,Pending,NA,Jaipur,Android,165,False
UPI100000067,2025-10-30,04:14:14,Punjab National Bank,Punjab National Bank,WhatsApp Pay,P2M,2462.48,Pending,NA,Kolkata,iOS,395,False
UPI100000068,2025-04-08,20:25:53,Union Bank,ICICI,CRED,P2M,652.15,Success,NA,Hyderabad,Android,454,False
UPI100000069,2025-09-04,14:32:09,ICICI,SBI,Amazon Pay,Merchant Payment,248.62,Pending,NA,Lucknow,Android,288,False
UPI100000070,2025-03-10,20:24:37,Punjab National Bank,HDFC,Amazon Pay,Fund Transfer,1515.23,Failed,Incorrect UPI PIN,Jaipur,Android,159,False
UPI100000071,2025-04-05,01:41:30,Kotak Mahindra,Canara Bank,BHIM,Recharge,646.21,Pending,NA,Chandigarh,Android,931,True
UPI100000072,2025-03-02,03:08:34,ICICI,Punjab National Bank,Amazon Pay,P2M,499.82,Failed,Daily Limit Exceeded,Bengaluru,Android,661,True
UPI100000073,2025-01-12,05:12:57,HDFC,SBI,WhatsApp Pay,P2M,1768.69,Failed,PSP Server Error,Jaipur,iOS,118,True
UPI100000074,2025-12-16,05:21:02,SBI,IndusInd Bank,BHIM,P2P,142.46,Success,NA,Delhi,Android,665,False
UPI100000075,2025-02-25,02:25:17,IndusInd Bank,IDBI Bank,CRED,Fund Transfer,941.34,Success,NA,Jalandhar,Android,282,False
UPI100000076,2025-01-07,01:25:22,Bank of Baroda,Union Bank,CRED,Recharge,180.04,Success,NA,Chandigarh,Android,272,False
UPI100000077,2025-04-29,02:51:07,IndusInd Bank,Bank of Baroda,Google Pay,P2P,366.34,Failed,Account Blocked/Frozen,Jaipur,Android,385,False
UPI100000078,2025-01-25,02:06:01,ICICI,Yes Bank,Amazon Pay,P2M,146.4,Success,NA,Ludhiana,Android,1144,True
UPI100000079,2025-08-24,20:04:34,IndusInd Bank,Yes Bank,Amazon Pay,Fund Transfer,3458.6,Success,NA,Ahmedabad,iOS,601,True
UPI100000080,2025-08-17,07:47:04,SBI,Punjab National Bank,WhatsApp Pay,Merchant Payment,258.83,Failed,Network Timeout,Jalandhar,Android,123,True
UPI100000081,2025-12-16,03:51:58,Canara Bank,Bank of Baroda,Google Pay,Bill Payment,1125.12,Success,NA,Delhi,iOS,145,False
UPI100000082,2025-11-18,11:30:27,IDBI Bank,Union Bank,BHIM,Fund Transfer,5547.35,Success,NA,Bengaluru,Android,1425,False
UPI100000083,2025-07-13,00:14:06,Union Bank,Canara Bank,PhonePe,Bill Payment,2745.64,Failed,NPCI Switch Error,Bengaluru,iOS,493,True
UPI100000084,2025-08-13,12:39:47,SBI,IDBI Bank,CRED,P2P,1424.8,Failed,Daily Limit Exceeded,Jalandhar,Android,2200,False
UPI100000085,2025-11-29,13:09:22,SBI,Kotak Mahindra,PhonePe,P2M,1203.11,Success,NA,Ludhiana,Android,973,True
UPI100000086,2025-03-25,02:21:52,Punjab National Bank,Yes Bank,Google Pay,P2P,1368.17,Success,NA,Pune,Android,393,False
UPI100000087,2025-11-01,23:12:04,IDBI Bank,IDBI Bank,PhonePe,Fund Transfer,4063.21,Reversed,Bank Server Down,Kolkata,Android,105,True
UPI100000088,2025-10-23,10:02:39,Kotak Mahindra,IDBI Bank,Mobikwik,Merchant Payment,235.84,Success,NA,Jalandhar,iOS,192,False
UPI100000089,2025-08-01,04:18:44,Punjab National Bank,ICICI,Paytm,Fund Transfer,1120.56,Success,NA,Patiala,iOS,448,False
UPI100000090,2025-10-23,16:26:47,Bank of Baroda,Canara Bank,WhatsApp Pay,Bill Payment,1477.65,Success,NA,Amritsar,Android,401,False
UPI100000091,2025-11-05,10:07:35,Canara Bank,ICICI,CRED,Bill Payment,857.21,Failed,Incorrect UPI PIN,Hyderabad,iOS,169,False
UPI100000092,2025-01-15,19:48:44,SBI,Axis Bank,WhatsApp Pay,Bill Payment,2340.99,Failed,Insufficient Balance,Patiala,Android,1256,False
UPI100000093,2025-10-16,18:49:39,Kotak Mahindra,HDFC,PhonePe,Merchant Payment,3150.5,Failed,Invalid VPA,Patiala,Android,430,False
UPI100000094,2025-08-04,17:53:55,Canara Bank,Canara Bank,Amazon Pay,Merchant Payment,400.59,Success,NA,Ludhiana,Android,869,False
UPI100000095,2025-08-31,21:01:23,Axis Bank,IndusInd Bank,Paytm,Bill Payment,646.27,Failed,NPCI Switch Error,Hyderabad,iOS,256,True
UPI100000096,2025-01-23,00:13:34,IndusInd Bank,Union Bank,BHIM,P2M,1333.67,Success,NA,Jaipur,Android,64,False
UPI100000097,2025-11-12,07:35:06,IDBI Bank,IDBI Bank,BHIM,Recharge,2351.58,Failed,NPCI Switch Error,Amritsar,iOS,425,False
UPI100000098,2025-02-20,12:18:47,Yes Bank,Kotak Mahindra,Paytm,P2P,190.27,Reversed,Bank Server Down,Delhi,iOS,1503,False
UPI100000099,2025-01-01,14:46:13,Bank of Baroda,ICICI,Mobikwik,Merchant Payment,725.37,Success,NA,Lucknow,iOS,1290,False
UPI100000100,2025-06-03,03:40:24,ICICI,Axis Bank,Google Pay,P2M,3795.89,Failed,Bank Server Down,Ahmedabad,iOS,2055,False
UPI100000101,2025-05-08,11:38:34,IDBI Bank,Union Bank,Paytm,Fund Transfer,301.08,Success,NA,Bengaluru,Android,2020,False
UPI100000102,2025-06-26,10:19:08,Union Bank,Kotak Mahindra,PhonePe,Recharge,368.68,Success,NA,Amritsar,iOS,541,False
UPI100000103,2025-05-28,14:40:53,Kotak Mahindra,IDBI Bank,CRED,Merchant Payment,315.86,Failed,Beneficiary Bank Unavailable,Chandigarh,Android,1336,False
UPI100000104,2025-11-14,00:34:39,SBI,Canara Bank,Paytm,P2M,532.3,Success,NA,Ludhiana,iOS,661,False
UPI100000105,2025-04-23,07:25:37,Kotak Mahindra,ICICI,CRED,Recharge,311.21,Pending,NA,Pune,Android,423,False
UPI100000106,2025-06-11,14:36:43,SBI,Bank of Baroda,CRED,Recharge,2756.89,Pending,NA,Hyderabad,Android,691,False
UPI100000107,2025-11-19,08:31:18,Union Bank,Canara Bank,WhatsApp Pay,P2P,2423.53,Failed,Insufficient Balance,Kolkata,Android,1070,False
UPI100000108,2025-10-18,09:41:51,Canara Bank,Canara Bank,WhatsApp Pay,Bill Payment,4941.11,Reversed,Bank Server Down,Mumbai,iOS,327,True
UPI100000109,2025-01-07,01:13:45,Bank of Baroda,SBI,CRED,Merchant Payment,50.34,Failed,Network Timeout,Patiala,iOS,1023,False
UPI100000110,2025-10-30,06:27:16,Axis Bank,Union Bank,PhonePe,P2M,686.62,Failed,Network Timeout,Mumbai,Android,471,False
UPI100000111,2025-08-10,17:21:56,IDBI Bank,ICICI,BHIM,P2M,2173.38,Failed,NPCI Switch Error,Jalandhar,iOS,3429,True
UPI100000112,2025-08-03,23:55:43,SBI,HDFC,Paytm,P2P,479.35,Success,NA,Patiala,Android,288,True
UPI100000113,2025-09-03,04:54:45,Union Bank,Axis Bank,PhonePe,P2M,3472.49,Success,NA,Mumbai,Android,1433,False
UPI100000114,2025-05-08,17:01:08,IndusInd Bank,Axis Bank,Google Pay,Fund Transfer,114.31,Success,NA,Bengaluru,iOS,1068,False
UPI100000115,2025-04-27,11:20:09,Kotak Mahindra,Punjab National Bank,Paytm,P2P,474.89,Success,NA,Ludhiana,iOS,852,True
UPI100000116,2025-11-05,20:36:22,IndusInd Bank,SBI,PhonePe,Merchant Payment,734.67,Success,NA,Ludhiana,iOS,2598,False
UPI100000117,2025-07-12,05:20:50,Punjab National Bank,Axis Bank,Paytm,P2M,116.04,Success,NA,Ahmedabad,iOS,2026,True
UPI100000118,2025-07-06,03:04:06,Canara Bank,ICICI,WhatsApp Pay,P2M,767.89,Reversed,Bank Server Down,Mumbai,iOS,243,True
UPI100000119,2025-02-05,20:41:18,Axis Bank,ICICI,Paytm,Recharge,89.19,Success,NA,Patiala,Android,375,False
UPI100000120,2025-06-03,00:25:24,Yes Bank,Yes Bank,Mobikwik,P2P,808.57,Success,NA,Hyderabad,iOS,542,False
UPI100000121,2025-10-18,12:33:06,HDFC,Punjab National Bank,BHIM,Recharge,5159.0,Failed,Account Blocked/Frozen,Chandigarh,Android,126,True
UPI100000122,2025-11-01,09:56:12,SBI,IndusInd Bank,Google Pay,P2P,317.1,Success,NA,Hyderabad,Android,1104,True
UPI100000123,2025-05-29,03:09:04,Bank of Baroda,Punjab National Bank,WhatsApp Pay,Fund Transfer,5921.93,Pending,NA,Kolkata,Android,995,False
UPI100000124,2025-01-26,07:45:35,IndusInd Bank,Bank of Baroda,Google Pay,P2M,1268.8,Pending,NA,Jalandhar,Android,1006,True
UPI100000125,2025-05-17,03:05:22,Canara Bank,HDFC,Paytm,Merchant Payment,974.29,Pending,NA,Pune,Android,357,True
UPI100000126,2025-04-13,20:48:30,Canara Bank,ICICI,BHIM,Recharge,993.96,Pending,NA,Ahmedabad,iOS,515,True
UPI100000127,2025-12-30,11:23:18,Canara Bank,SBI,BHIM,Merchant Payment,1635.53,Success,NA,Amritsar,iOS,495,False
UPI100000128,2025-04-18,22:26:05,HDFC,Bank of Baroda,Paytm,P2M,6969.85,Failed,Bank Server Down,Chandigarh,Android,4995,False
UPI100000129,2025-01-29,08:13:49,SBI,Punjab National Bank,BHIM,P2P,1313.96,Failed,PSP Server Error,Lucknow,iOS,482,False
UPI100000130,2025-12-25,03:31:16,SBI,SBI,Paytm,Merchant Payment,666.88,Failed,Network Timeout,Ludhiana,iOS,761,False
UPI100000131,2025-07-12,09:50:00,SBI,Yes Bank,Mobikwik,Recharge,379.34,Reversed,Duplicate Transaction,Mumbai,Android,760,True
UPI100000132,2025-10-22,15:43:58,Canara Bank,Union Bank,WhatsApp Pay,Merchant Payment,6800.22,Success,NA,Delhi,Android,460,False
UPI100000133,2025-12-15,22:37:50,Kotak Mahindra,Punjab National Bank,Paytm,Merchant Payment,202.33,Failed,PSP Server Error,Lucknow,Android,215,False
UPI100000134,2025-09-16,03:56:39,Kotak Mahindra,Punjab National Bank,Amazon Pay,Fund Transfer,5225.63,Pending,NA,Chandigarh,iOS,4274,False
UPI100000135,2025-03-02,11:54:34,IndusInd Bank,ICICI,PhonePe,P2M,1796.19,Failed,Incorrect UPI PIN,Bengaluru,Android,252,True
UPI100000136,2025-03-30,16:35:20,Axis Bank,Punjab National Bank,PhonePe,Bill Payment,3158.99,Failed,Account Blocked/Frozen,Patiala,Android,86,True
UPI100000137,2025-08-14,07:12:11,IndusInd Bank,Yes Bank,CRED,P2P,1210.62,Failed,Transaction Timeout,Kolkata,Android,54,False
UPI100000138,2025-09-08,01:06:12,IndusInd Bank,HDFC,WhatsApp Pay,Merchant Payment,383.04,Success,NA,Mumbai,Android,1574,False
UPI100000139,2025-02-09,02:38:36,ICICI,IndusInd Bank,Paytm,P2M,1187.17,Pending,NA,Amritsar,iOS,639,True
UPI100000140,2025-12-02,05:27:03,IDBI Bank,SBI,Paytm,Bill Payment,272.24,Failed,PSP Server Error,Mumbai,iOS,139,False
UPI100000141,2025-06-04,00:41:09,IDBI Bank,Bank of Baroda,Amazon Pay,Bill Payment,4888.47,Success,NA,Pune,iOS,160,False
UPI100000142,2025-12-29,21:27:16,Bank of Baroda,HDFC,BHIM,P2M,2686.89,Success,NA,Pune,iOS,320,False
UPI100000143,2025-02-15,20:56:58,SBI,Yes Bank,Google Pay,P2M,1517.71,Success,NA,Chandigarh,iOS,140,True
UPI100000144,2025-03-15,11:43:27,HDFC,IDBI Bank,BHIM,Fund Transfer,2111.8,Success,NA,Delhi,iOS,1228,True
UPI100000145,2025-11-20,13:56:32,IDBI Bank,Kotak Mahindra,Google Pay,P2M,972.47,Failed,Transaction Timeout,Ahmedabad,iOS,1691,False
UPI100000146,2025-07-11,06:54:20,IDBI Bank,Axis Bank,Paytm,Bill Payment,1363.57,Success,NA,Patiala,Android,1428,False
UPI100000147,2025-03-20,07:31:22,IndusInd Bank,Bank of Baroda,PhonePe,P2M,489.54,Reversed,Duplicate Transaction,Chandigarh,Android,1590,False
UPI100000148,2025-09-28,11:37:26,Union Bank,Axis Bank,Mobikwik,P2M,2233.04,Failed,Duplicate Transaction,Ahmedabad,Android,2460,True
UPI100000149,2025-08-24,09:22:36,Punjab National Bank,Punjab National Bank,Paytm,Recharge,770.24,Failed,Incorrect UPI PIN,Ahmedabad,Android,359,True
UPI100000150,2025-01-15,21:22:41,ICICI,SBI,Google Pay,Recharge,1250.88,Success,NA,Ahmedabad,iOS,188,False
UPI100000151,2025-05-25,10:07:24,Punjab National Bank,Canara Bank,CRED,Bill Payment,2804.4,Success,NA,Chandigarh,Android,162,True
UPI100000152,2025-06-30,01:34:15,IDBI Bank,IndusInd Bank,Paytm,Recharge,2398.41,Success,NA,Jalandhar,Android,156,False
UPI100000153,2025-08-24,14:10:27,Axis Bank,Yes Bank,WhatsApp Pay,P2P,273.0,Success,NA,Mumbai,Android,763,True
UPI100000154,2025-03-13,08:15:59,SBI,Canara Bank,Amazon Pay,P2M,1721.29,Success,NA,Bengaluru,iOS,905,False
UPI100000155,2025-08-05,17:51:28,IDBI Bank,Kotak Mahindra,Google Pay,Bill Payment,992.35,Failed,Insufficient Balance,Kolkata,Android,726,False
UPI100000156,2025-03-21,13:33:07,SBI,IndusInd Bank,Mobikwik,P2M,602.81,Success,NA,Amritsar,Android,395,False
UPI100000157,2025-03-18,15:49:45,Kotak Mahindra,Bank of Baroda,PhonePe,Fund Transfer,1267.4,Success,NA,Ludhiana,Android,228,False
UPI100000158,2025-11-01,14:10:47,Union Bank,ICICI,Paytm,Fund Transfer,1364.98,Success,NA,Jaipur,iOS,2239,True
UPI100000159,2025-11-24,07:18:09,IDBI Bank,Axis Bank,WhatsApp Pay,Bill Payment,1003.63,Success,NA,Delhi,iOS,1409,False
UPI100000160,2025-01-03,15:40:46,Yes Bank,IDBI Bank,PhonePe,Fund Transfer,137.73,Failed,Beneficiary Bank Unavailable,Kolkata,Android,572,False
UPI100000161,2025-08-31,07:25:45,ICICI,Bank of Baroda,WhatsApp Pay,Recharge,2055.5,Pending,NA,Mumbai,Android,85,True
UPI100000162,2025-10-27,05:34:09,Kotak Mahindra,HDFC,Paytm,Fund Transfer,615.91,Success,NA,Ahmedabad,Android,118,False
UPI100000163,2025-08-31,12:38:20,Kotak Mahindra,SBI,CRED,Recharge,297.09,Reversed,Bank Server Down,Patiala,iOS,493,True
UPI100000164,2025-01-04,07:12:43,Axis Bank,IDBI Bank,Mobikwik,P2M,3036.46,Success,NA,Delhi,iOS,1083,True
UPI100000165,2025-08-16,12:06:25,HDFC,Axis Bank,WhatsApp Pay,P2M,7277.68,Failed,Account Blocked/Frozen,Chandigarh,Android,551,True
UPI100000166,2025-01-21,23:34:38,SBI,ICICI,PhonePe,Recharge,3605.88,Failed,Account Blocked/Frozen,Jalandhar,iOS,624,False
UPI100000167,2025-10-20,17:52:04,Kotak Mahindra,Yes Bank,WhatsApp Pay,Fund Transfer,3079.01,Success,NA,Hyderabad,Android,406,False
UPI100000168,2025-05-10,19:15:50,Kotak Mahindra,SBI,Paytm,P2P,5240.74,Failed,Daily Limit Exceeded,Mumbai,Android,760,True
UPI100000169,2025-06-13,03:29:48,Bank of Baroda,Union Bank,PhonePe,Bill Payment,885.16,Failed,NPCI Switch Error,Kolkata,iOS,176,False
UPI100000170,2025-05-13,22:05:30,IDBI Bank,SBI,Google Pay,Fund Transfer,285.2,Failed,Daily Limit Exceeded,Mumbai,iOS,564,False
UPI100000171,2025-04-30,07:15:55,Canara Bank,IDBI Bank,CRED,Fund Transfer,355.71,Failed,Bank Server Down,Jalandhar,iOS,154,False
UPI100000172,2025-10-20,00:04:41,SBI,Bank of Baroda,Paytm,Fund Transfer,307.7,Failed,Insufficient Balance,Amritsar,Android,83,False
UPI100000173,2025-10-03,09:44:17,Canara Bank,Union Bank,Paytm,Fund Transfer,4558.96,Success,NA,Jaipur,Android,535,False
UPI100000174,2025-06-27,02:31:50,IDBI Bank,Kotak Mahindra,BHIM,Fund Transfer,562.1,Success,NA,Lucknow,iOS,945,False
UPI100000175,2025-12-07,06:26:36,Kotak Mahindra,Punjab National Bank,CRED,Fund Transfer,452.17,Success,NA,Pune,iOS,425,True
UPI100000176,2025-04-24,07:57:05,SBI,IndusInd Bank,Mobikwik,P2P,56.29,Reversed,Bank Server Down,Delhi,Android,784,False
UPI100000177,2025-10-14,13:04:15,Punjab National Bank,Punjab National Bank,Google Pay,P2M,652.89,Failed,Invalid VPA,Jaipur,Android,467,False
UPI100000178,2025-06-25,20:07:40,Yes Bank,Punjab National Bank,Amazon Pay,P2P,183.3,Success,NA,Bengaluru,iOS,2129,False
UPI100000179,2025-01-19,18:02:45,HDFC,HDFC,Amazon Pay,P2P,582.32,Pending,NA,Amritsar,iOS,331,True
UPI100000180,2025-03-30,14:25:24,SBI,IDBI Bank,PhonePe,Merchant Payment,728.07,Success,NA,Amritsar,Android,681,True
UPI100000181,2025-10-18,06:14:03,Kotak Mahindra,IndusInd Bank,Paytm,Bill Payment,286.69,Success,NA,Ludhiana,iOS,605,True
UPI100000182,2025-03-26,01:47:51,HDFC,Kotak Mahindra,BHIM,Merchant Payment,2531.13,Failed,Daily Limit Exceeded,Ludhiana,iOS,744,False
UPI100000183,2025-10-27,13:00:19,Union Bank,Bank of Baroda,WhatsApp Pay,Fund Transfer,1909.43,Reversed,Duplicate Transaction,Mumbai,Android,500,False
UPI100000184,2025-12-02,16:26:22,Punjab National Bank,IDBI Bank,CRED,P2P,1604.98,Success,NA,Delhi,Android,571,False
